playlist_genre                                                                                                                                                                                                                                                   track_popularity danceability           energy                 loudness               acousticness           instrumentalness       liveness               valence                tempo                  duration_ms
pop                                                                                                                                                                                                                                                              63               0.675                  0.76                   -7.037                 0.104                  0                      0.33                   0.468                  124.933                172800
pop                                                                                                                                                                                                                                                              66               0.682                  0.851                  -7.117                 0.0146                 0.000834               0.0289                 0.348                  126                    192381
pop                                                                                                                                                                                                                                                              8                0.663                  0.905                  -3.781                 0.0325                 0                      0.333                  0.397                  125.996                175000
pop                                                                                                                                                                                                                                                              62               0.625                  0.938                  -3.983                 0.00432                0.00026                0.0923                 0.371                  127.997                166875
pop                                                                                                                                                                                                                                                              30               0.679                  0.909                  -2.929                 0.0334                 0                      0.269                  0.819                  119.885                155080
pop                                                                                                                                                                                                                                                              56               0.641                  0.869                  -4.754                 0.0319                 0.00131                0.403                  0.358                  128.091                178125
pop                                                                                                                                                                                                                                                              56               0.702                  0.814                  -7.51                  0.107                  3.03E-05               0.374                  0.503                  121.993                172000
pop                                                                                                                                                                                                                                                              58               0.723                  0.837                  -6.487                 0.0103                 0.000477               0.0834                 0.643                  123.952                177097
pop                                                                                                                                                                                                                                                              60               0.742                  0.864                  -5.06                  0.00141                0.00467                0.241                  0.727                  125.032                169935
pop                                                                                                                                                                                                                                                              39               0.591                  0.702                  -5.59                  0.225                  0                      0.414                  0.501                  104.003                217653
pop                                                                                                                                                                                                                                                              60               0.716                  0.815                  -4.121                 0.108                  0                      0.163                  0.351                  124.975                220413
pop                                                                                                                                                                                                                                                              55               0.748                  0.831                  -5.029                 0.0823                 7.36E-05               0.0757                 0.894                  128.024                185273
pop                                                                                                                                                                                                                                                              59               0.816                  0.833                  -5.972                 0.126                  9.09E-06               0.0625                 0.793                  122.032                170164
pop                                                                                                                                                                                                                                                              63               0.633                  0.854                  -4.046                 0.0382                 2.83E-05               0.434                  0.659                  126.026                172360
pop                                                                                                                                                                                                                                                              67               0.563                  0.81                   -2.921                 0.00522                0                      0.0846                 0.495                  129.975                247385
pop                                                                                                                                                                                                                                                              55               0.728                  0.815                  -2.878                 0.00223                0.000317               0.101                  0.681                  124.019                218015
pop                                                                                                                                                                                                                                                              56               0.846                  0.773                  -3.503                 0.0141                 2.23E-05               0.204                  0.586                  124.008                200444
pop                                                                                                                                                                                                                                                              87               0.693                  0.678                  -7.159                 0.0154                 6.05E-06               0.101                  0.404                  103.952                228267
pop                                                                                                                                                                                                                                                              62               0.678                  0.928                  -3.66                  0.0303                 3.33E-05               0.143                  0.663                  116.892                150160
pop                                                                                                                                                                                                                                                              83               0.67                   0.453                  -11.265                0.252                  0.33                   0.117                  0.68                   135.055                194840
pop                                                                                                                                                                                                                                                              55               0.755                  0.931                  -4.104                 0.132                  0.0271                 0.0854                 0.288                  122.041                177466
pop                                                                                                                                                                                                                                                              61               0.622                  0.859                  -7.626                 0.000609               0.746                  0.0909                 0.442                  121.968                218373
pop                                                                                                                                                                                                                                                              56               0.789                  0.893                  -4.364                 0.0538                 0                      0.221                  0.41                   121.956                144073
pop                                                                                                                                                                                                                                                              57               0.64                   0.838                  -4.203                 0.0588                 1.99E-05               0.0424                 0.587                  124.081                193861
pop                                                                                                                                                                                                                                                              56               0.609                  0.764                  -4.564                 0.0994                 0                      0.197                  0.531                  128.082                200625
pop                                                                                                                                                                                                                                                              53               0.64                   0.992                  -3.318                 0.0832                 0.0083                 0.109                  0.479                  123.951                166237
pop                                                                                                                                                                                                                                                              56               0.75                   0.81                   -4.607                 0.0917                 1.59E-05               0.111                  0.48                   120.038                171500
pop                                                                                                                                                                                                                                                              34               0.535                  0.956                  -2.996                 0.000609               0.0109                 0.262                  0.12                   127.984                266719
pop                                                                                                                                                                                                                                                              74               0.766                  0.771                  -9.108                 0.00407                3.76E-06               0.113                  0.297                  140.036                204027
pop                                                                                                                                                                                                                                                              46               0.649                  0.821                  -4.952                 0.017                  0.000347               0.0655                 0.394                  125.977                203968
pop                                                                                                                                                                                                                                                              63               0.588                  0.697                  -4.744                 0.186                  0.000219               0.103                  0.225                  125.157                190417
pop                                                                                                                                                                                                                                                              55               0.355                  0.789                  -4.358                 0.0148                 0                      0.0355                 0.169                  80.444                 237686
pop                                                                                                                                                                                                                                                              52               0.542                  0.84                   -5.283                 0.0336                 8.45E-05               0.277                  0.509                  118.02                 180361
pop                                                                                                                                                                                                                                                              67               0.735                  0.5                    -11.297                0.415                  3.12E-05               0.13                   0.119                  126.1                  139048
pop                                                                                                                                                                                                                                                              63               0.752                  0.84                   -4.451                 0.00486                0.0109                 0.0916                 0.461                  124.002                279800
pop                                                                                                                                                                                                                                                              60               0.748                  0.903                  -5.877                 0.0324                 0                      0.106                  0.751                  115.018                217043
pop                                                                                                                                                                                                                                                              45               0.607                  0.955                  -3.613                 0.0163                 0.121                  0.0725                 0.501                  125.984                230476
pop                                                                                                                                                                                                                                                              58               0.607                  0.995                  -2.325                 0.0921                 0.002                  0.0445                 0.664                  124.998                188640
pop                                                                                                                                                                                                                                                              51               0.679                  0.786                  -6.918                 0.119                  5.89E-06               0.224                  0.47                   126.092                196613
pop                                                                                                                                                                                                                                                              58               0.714                  0.801                  -5.8                   0.0204                 0.00615                0.334                  0.292                  124.015                210000
pop                                                                                                                                                                                                                                                              56               0.69                   0.862                  -4.154                 0.0611                 1.85E-05               0.238                  0.453                  121.975                187869
pop                                                                                                                                                                                                                                                              60               0.775                  0.867                  -7.388                 0.0158                 0.0117                 0.0355                 0.565                  128.956                273229
pop                                                                                                                                                                                                                                                              48               0.814                  0.838                  -5.547                 0.001                  0.0223                 0.0185                 0.959                  121.978                255861
pop                                                                                                                                                                                                                                                              56               0.784                  0.779                  -5.48                  0.0357                 0.025                  0.0245                 0.459                  124.994                216714
pop                                                                                                                                                                                                                                                              56               0.367                  0.783                  -4.504                 0.00515                0                      0.0545                 0.289                  88.013                 192653
pop                                                                                                                                                                                                                                                              65               0.609                  0.83                   -3.759                 0.201                  6.18E-05               0.0321                 0.604                  117.833                238451
pop                                                                                                                                                                                                                                                              83               0.59                   0.642                  -3.87                  0.0771                 0                      0.105                  0.651                  107.356                174444
pop                                                                                                                                                                                                                                                              83               0.791                  0.565                  -3.933                 0.0623                 0                      0.156                  0.181                  99.961                 156347
pop                                                                                                                                                                                                                                                              71               0.564                  0.747                  -3.374                 0.0728                 0                      0.151                  0.717                  97.878                 165767
pop                                                                                                                                                                                                                                                              81               0.669                  0.801                  -5.445                 0.268                  0                      0.0594                 0.541                  109.919                201072
pop                                                                                                                                                                                                                                                              85               0.77                   0.882                  -4.792                 0.194                  0                      0.316                  0.385                  99.991                 223523
pop                                                                                                                                                                                                                                                              76               0.513                  0.788                  -4.629                 0.00968                0                      0.11                   0.234                  139.987                238459
pop                                                                                                                                                                                                                                                              71               0.72                   0.864                  -3.249                 0.0856                 0                      0.16                   0.659                  96.048                 191612
pop                                                                                                                                                                                                                                                              65               0.789                  0.858                  -4.388                 0.22                   4.58E-05               0.335                  0.491                  110.012                173455
pop                                                                                                                                                                                                                                                              67               0.294                  0.505                  -8.106                 0.12                   0                      0.0977                 0.357                  85.332                 209893
pop                                                                                                                                                                                                                                                              74               0.665                  0.799                  -2.868                 0.18                   0                      0.125                  0.5                    101.976                228112
pop                                                                                                                                                                                                                                                              81               0.46                   0.8                    -3.584                 0.289                  6.16E-06               0.121                  0.553                  102.46                 220396
pop                                                                                                                                                                                                                                                              71               0.362                  0.921                  -3.815                 0.123                  0                      0.19                   0.529                  172.191                180840
pop                                                                                                                                                                                                                                                              75               0.686                  0.83                   -4.437                 0.0948                 1.33E-06               0.182                  0.486                  123.032                214634
pop                                                                                                                                                                                                                                                              73               0.618                  0.66                   -8.14                  0.0292                 2.07E-06               0.325                  0.408                  105                    210944
pop                                                                                                                                                                                                                                                              79               0.665                  0.699                  -5.265                 0.423                  0                      0.0969                 0.585                  124.896                190932
pop                                                                                                                                                                                                                                                              74               0.661                  0.725                  -4.859                 0.0253                 0                      0.123                  0.605                  119.927                197939
pop                                                                                                                                                                                                                                                              63               0.571                  0.752                  -4.872                 0.0196                 6.92E-05               0.114                  0.25                   102.043                192941
pop                                                                                                                                                                                                                                                              79               0.591                  0.705                  -6.519                 0.381                  0.000116               0.131                  0.27                   121.799                215316
pop                                                                                                                                                                                                                                                              16               0.652                  0.898                  -4.481                 0.29                   0                      0.073                  0.472                  114.043                193377
pop                                                                                                                                                                                                                                                              75               0.706                  0.855                  -5.377                 0.0911                 0                      0.347                  0.293                  107.184                201253
pop                                                                                                                                                                                                                                                              75               0.404                  0.806                  -4.75                  0.198                  0                      0.114                  0.112                  148.036                220730
pop                                                                                                                                                                                                                                                              55               0.876                  0.856                  -3.884                 0.0812                 1.29E-06               0.457                  0.685                  121.991                185062
pop                                                                                                                                                                                                                                                              30               0.802                  0.645                  -6.181                 0.272                  0                      0.119                  0.376                  100.001                157202
pop                                                                                                                                                                                                                                                              62               0.906                  0.832                  -3.004                 0.0909                 0                      0.152                  0.751                  104.03                 159753
pop                                                                                                                                                                                                                                                              84               0.753                  0.657                  -3.061                 0.171                  0                      0.112                  0.437                  107.01                 184732
